cowccode,iso3numeric,iso3alpha,year,LoTUnknown,LoTCriminal,LoTDissident,LoTMarginalized,LoTStateAgent,RstrctAccess
52,780,"TTO",1996,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
52,780,"TTO",1997,"Allegation, No LoT","Allegation, No LoT","No Allegations","Allegation, No LoT","No Allegations","No"
52,780,"TTO",1998,"Allegation, No LoT","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
52,780,"TTO",1999,"No Allegations","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
52,780,"TTO",2000,"Several","Continued","No Allegations","Allegation, No LoT","No Allegations","No"
52,780,"TTO",2001,"Several","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
52,780,"TTO",2002,"Several","Continued","No Allegations","No Allegations","No Allegations","No"
52,780,"TTO",2003,"Several","Continued","No Allegations","No Allegations","No Allegations","No"
52,780,"TTO",2004,"Several","Continued","No Allegations","No Allegations","No Allegations","No"
52,780,"TTO",2005,"Several","Continued","No Allegations","No Allegations","No Allegations","No"
70,484,"MEX",1995,"Widespread","Systematic","Widespread","Widespread","No Allegations","No"
70,484,"MEX",1996,"Systematic","Widespread","Systematic","Systematic","No Allegations","No"
70,484,"MEX",1997,"Systematic","Widespread","Systematic","Systematic","Allegation, No LoT","No"
70,484,"MEX",1998,"Systematic","Widespread","Widespread","Widespread","No Allegations","Yes"
70,484,"MEX",1999,"Widespread","Widespread","Widespread","Widespread","No Allegations","Yes"
70,484,"MEX",2000,"Widespread","Widespread","Widespread","Widespread","No Allegations","No"
70,484,"MEX",2001,"Widespread","Widespread","Widespread","Widespread","No Allegations","No"
70,484,"MEX",2002,"Widespread","Widespread","No Allegations","Several","No Allegations","No"
70,484,"MEX",2003,"Systematic","Systematic","No Allegations","Several","No Allegations","No"
70,484,"MEX",2004,"Widespread","Systematic","No Allegations","No Allegations","No Allegations","No"
70,484,"MEX",2005,"Widespread","Routinely","No Allegations","No Allegations","No Allegations","No"
90,320,"GTM",1995,"Several","No Allegations","No Allegations","Allegation, No LoT","No Allegations","No"
90,320,"GTM",1996,"Routinely","No Allegations","Allegation, No LoT","Allegation, No LoT","No Allegations","No"
90,320,"GTM",1997,"Continued","No Allegations","No Allegations","Allegation, No LoT","No Allegations","No"
90,320,"GTM",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
90,320,"GTM",1999,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
90,320,"GTM",2000,"No Allegations","No Allegations","Infrequent","No Allegations","No Allegations","No"
90,320,"GTM",2001,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
90,320,"GTM",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
90,320,"GTM",2003,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
90,320,"GTM",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
90,320,"GTM",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",1996,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",1998,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",1999,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",2000,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",2001,"Allegation, No LoT","Allegation, No LoT","No Allegations","Allegation, No LoT","No Allegations","No"
91,340,"HND",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",2003,"No Allegations","Allegation, No LoT","No Allegations","Allegation, No LoT","No Allegations","No"
91,340,"HND",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
91,340,"HND",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",1996,"Allegation, No LoT","No Allegations","Allegation, No LoT","No Allegations","No Allegations","No"
92,222,"SLV",1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",1999,"Allegation, No LoT","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",2000,"Several","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",2001,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",2003,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
92,222,"SLV",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",1996,"No Allegations","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",1999,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",2000,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",2001,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",2002,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",2003,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
93,558,"NIC",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",1996,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",1999,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",2000,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",2001,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",2003,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
94,188,"CRI",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",1995,"No Allegations","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",1996,"No Allegations","No Allegations","No Allegations","Several","No Allegations","No"
95,591,"PAN",1997,"No Allegations","No Allegations","No Allegations","Several","No Allegations","No"
95,591,"PAN",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",1999,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",2000,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",2001,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",2003,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
95,591,"PAN",2005,"No Allegations","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
100,170,"COL",1995,"Systematic","Systematic","Systematic","No Allegations","No Allegations","No"
100,170,"COL",1996,"Systematic","No Allegations","Systematic","No Allegations","No Allegations","No"
100,170,"COL",1997,"Systematic","Routinely","Systematic","Systematic","No Allegations","No"
100,170,"COL",1998,"Systematic","No Allegations","Systematic","No Allegations","No Allegations","No"
100,170,"COL",1999,"Systematic","No Allegations","Systematic","Routinely","No Allegations","No"
100,170,"COL",2000,"Systematic","Systematic","Systematic","Systematic","No Allegations","No"
100,170,"COL",2001,"Widespread","No Allegations","Systematic","Systematic","No Allegations","No"
100,170,"COL",2002,"Systematic","No Allegations","Widespread","No Allegations","No Allegations","No"
100,170,"COL",2003,"Widespread","No Allegations","Systematic","Several","No Allegations","No"
100,170,"COL",2004,"Systematic","No Allegations","Systematic","Systematic","No Allegations","No"
100,170,"COL",2005,"Systematic","No Allegations","Systematic","Systematic","No Allegations","Yes"
101,862,"VEN",1995,"Widespread","Routinely","Systematic","Several","No Allegations","No"
101,862,"VEN",1996,"Widespread","Routinely","Systematic","Several","No Allegations","No"
101,862,"VEN",1997,"Widespread","Routinely","Systematic","Routinely","No Allegations","No"
101,862,"VEN",1998,"Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No"
101,862,"VEN",1999,"Widespread","Several","Routinely","Several","No Allegations","No"
101,862,"VEN",2000,"Systematic","Infrequent","Infrequent","Infrequent","No Allegations","No"
101,862,"VEN",2001,"Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No"
101,862,"VEN",2002,"Systematic","Systematic","Routinely","Systematic","No Allegations","No"
101,862,"VEN",2003,"Systematic","Routinely","Several","Systematic","No Allegations","No"
101,862,"VEN",2004,"Systematic","No Allegations","Systematic","Systematic","No Allegations","No"
101,862,"VEN",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",1996,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",1997,"Continued","No Allegations","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",1998,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",1999,"No Allegations","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",2000,"Allegation, No LoT","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",2001,"Systematic","Several","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",2002,"No Allegations","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",2003,"Allegation, No LoT","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",2004,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
110,328,"GUY",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",1996,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",1999,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",2000,"Allegation, No LoT","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",2001,"No Allegations","Allegation, No LoT","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",2002,"Several","Several","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",2003,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
115,740,"SUR",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",1995,"Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",1996,"Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",1997,"Systematic","Widespread","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",1998,"Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",1999,"Several","Several","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",2000,"Widespread","No Allegations","No Allegations","Allegation, No LoT","No Allegations","No"
130,218,"ECU",2001,"Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",2002,"Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",2003,"Widespread","Widespread","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",2004,"No Allegations","Widespread","No Allegations","No Allegations","No Allegations","No"
130,218,"ECU",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
135,604,"PER",1995,"Systematic","Widespread","Widespread","Systematic","No Allegations","No"
135,604,"PER",1996,"Systematic","Routinely","Routinely","Widespread","No Allegations","No"
135,604,"PER",1997,"Systematic","Routinely","Routinely","Widespread","No Allegations","Yes"
135,604,"PER",1998,"Systematic","Routinely","Routinely","Widespread","Systematic","Yes"
135,604,"PER",1999,"Systematic","Routinely","Routinely","Widespread","No Allegations","No"
135,604,"PER",2000,"Systematic","Widespread","Routinely","Widespread","No Allegations","No"
135,604,"PER",2001,"Systematic","Routinely","Routinely","Several","No Allegations","No"
135,604,"PER",2002,"Widespread","Routinely","Routinely","No Allegations","No Allegations","No"
135,604,"PER",2003,"Widespread","Widespread","No Allegations","No Allegations","No Allegations","No"
135,604,"PER",2004,"No Allegations","Several","No Allegations","No Allegations","No Allegations","No"
135,604,"PER",2005,"No Allegations","Several","No Allegations","No Allegations","No Allegations","No"
140,76,"BRA",1995,"Allegation, No LoT","Widespread","No Allegations","Routinely","No Allegations","No"
140,76,"BRA",1996,"Systematic","Widespread","Several","Routinely","No Allegations","No"
140,76,"BRA",1997,"Widespread","Widespread","No Allegations","Routinely","No Allegations","No"
140,76,"BRA",1998,"Systematic","Systematic","Widespread","Routinely","No Allegations","Yes"
140,76,"BRA",1999,"Widespread","Widespread","No Allegations","Routinely","No Allegations","Yes"
140,76,"BRA",2000,"Systematic","Systematic","No Allegations","Routinely","No Allegations","Yes"
140,76,"BRA",2001,"Systematic","Systematic","No Allegations","Systematic","No Allegations","No"
140,76,"BRA",2002,"Systematic","Systematic","No Allegations","Allegation, No LoT","No Allegations","No"
140,76,"BRA",2003,"Systematic","Systematic","Several","Allegation, No LoT","No Allegations","No"
140,76,"BRA",2004,"Widespread","Systematic","No Allegations","No Allegations","No Allegations","No"
140,76,"BRA",2005,"Systematic","Systematic","No Allegations","Systematic","No Allegations","Yes"
145,68,"BOL",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",1996,"Several","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",1997,"Several","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",1998,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",1999,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",2000,"Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",2001,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",2003,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",2004,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
145,68,"BOL",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
150,600,"PRY",1995,"Routinely","Routinely","No Allegations","Increased/Worsening","No Allegations","No"
150,600,"PRY",1996,"Systematic","No Allegations","No Allegations","Improved","No Allegations","No"
150,600,"PRY",1997,"No Allegations","No Allegations","No Allegations","Continued","Routinely","No"
150,600,"PRY",1998,"No Allegations","Routinely","No Allegations","Routinely","Routinely","No"
150,600,"PRY",1999,"No Allegations","Systematic","No Allegations","Systematic","Routinely","No"
150,600,"PRY",2000,"Allegation, No LoT","Systematic","No Allegations","Systematic","Routinely","No"
150,600,"PRY",2001,"Systematic","Routinely","Routinely","Increased/Worsening","Routinely","No"
150,600,"PRY",2002,"Systematic","Systematic","Several","Systematic","Widespread","No"
150,600,"PRY",2003,"No Allegations","No Allegations","Several","No Allegations","Increased/Worsening","No"
150,600,"PRY",2004,"No Allegations","No Allegations","No Allegations","No Allegations","Increased/Worsening","No"
150,600,"PRY",2005,"No Allegations","Systematic","No Allegations","Systematic","No Allegations","No"
155,152,"CHL",1995,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
155,152,"CHL",1996,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","No Allegations","No"
155,152,"CHL",1997,"Allegation, No LoT","No Allegations","No Allegations","No Allegations","Routinely","No"
155,152,"CHL",1998,"Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No"
155,152,"CHL",1999,"Systematic","Routinely","No Allegations","No Allegations","No Allegations","No"
155,152,"CHL",2000,"No Allegations","Several","No Allegations","No Allegations","No Allegations","No"
