outcome,model_name,AIC,BIC,MAE,RMSE
marginalized,mdl_ccp_dueproc_w_controls,8368.753795785831,8401.219507039334,2.567288165214473,5.761854725523575
marginalized,mdl_ccp_habcorp_basic,8667.097817675478,8683.33067330223,2.641540302409646,6.217011995535979
marginalized,mdl_ccp_habcorp_w_controls,8388.143648118348,8420.60935937185,2.582103620247808,5.788008541297534
marginalized,mdl_ccp_prerel_basic,8640.324492373256,8656.557348000008,2.633432210225584,6.21311614705833
marginalized,mdl_ccp_prerel_w_controls,8377.317362137423,8409.783073390925,2.5796999845230126,5.790782423993373
marginalized,mdl_ccp_speedtri_basic,8675.690152112713,8691.923007739464,2.6484328489498963,6.225900099360819
marginalized,mdl_ccp_speedtri_w_controls,8400.084014895327,8432.549726148829,2.5875011961534864,5.7976228979790765
marginalized,mdl_ccp_torture_basic,8661.583845972424,8677.816701599175,2.6445224779635454,6.219789983429868
marginalized,mdl_ccp_torture_w_controls,8384.69652813894,8417.162239392443,2.5872643657521306,5.791124372876112
marginalized,mdl_epr_excluded_group_pop_basic,8690.098387716595,8706.331243343346,2.6507395372244034,6.233238493779093
marginalized,mdl_epr_excluded_group_pop_w_controls,8417.833952030098,8450.2996632836,2.588717301161242,5.80259677405693
marginalized,mdl_epr_excluded_groups_count_basic,8674.770774416958,8691.00363004371,2.646835502040063,6.224981827822227
marginalized,mdl_epr_excluded_groups_count_w_controls,8401.598639280373,8434.064350533876,2.585428583044045,5.78492999628522
marginalized,mdl_v2asuffrage_basic,8689.899904304471,8706.132759931223,2.650403940924341,6.2351914898596235
marginalized,mdl_v2asuffrage_w_controls,8417.874136232584,8450.339847486086,2.5899855936318645,5.803798195587232
marginalized,mdl_v2clacjust_basic,8636.225700635374,8652.458556262125,2.6425318176868218,6.177420373525102
marginalized,mdl_v2clacjust_w_controls,8383.249015857751,8415.714727111254,2.5783034329859196,5.748810579214533
marginalized,mdl_v2clsocgrp_basic,8492.013498389919,8508.24635401667,2.611777582733471,5.856182525562007
marginalized,mdl_v2clsocgrp_w_controls,8325.376528191688,8357.84223944519,2.5608363583924136,5.6486292403851674
marginalized,mdl_v2pepwrses_basic,8547.126968378385,8563.359824005136,2.6223931877947404,5.984401519542217
marginalized,mdl_v2pepwrses_w_controls,8308.751893333425,8341.217604586927,2.5475144311246094,5.603783833388427
marginalized,mdl_v2pepwrsoc_basic,8644.689398899292,8660.922254526044,2.6409026824790005,6.13449742103475
marginalized,mdl_v2pepwrsoc_w_controls,8380.242625060406,8412.708336313908,2.5783738318399045,5.7408261587186
marginalized,mdl_v2x_elecoff_basic,8687.669230987858,8703.90208661461,2.6490421011708722,6.239160067760086
marginalized,mdl_v2x_elecoff_w_controls,8416.363694882984,8448.829406136487,2.5902004757759673,5.808995371069189
marginalized,mdl_v2x_jucon_basic,8655.403635774737,8671.636491401488,2.649693866618795,6.1720562152247815
marginalized,mdl_v2x_jucon_w_controls,8405.313686844314,8437.779398097817,2.589792200132842,5.772922656997197
marginalized,mdl_v2xel_frefair_basic,8676.814981086969,8693.04783671372,2.6486991565900366,6.21985371195674
marginalized,mdl_v2xel_frefair_w_controls,8415.070774469488,8447.53648572299,2.5918380954424256,5.799844948716156
marginalized,mdl_v2xlg_legcon_basic,8684.23654969763,8700.469405324382,2.6505436342122577,6.228128717914424
marginalized,mdl_v2xlg_legcon_w_controls,8415.529376073639,8447.995087327141,2.5906957526727004,5.799259809280528
