outcome,model_name,MAE,RMSE,CRPS
criminal,XGBoost,1.9383187497968244,3.5517984987767526,1.4661314298763708
dissident,XGBoost,1.9817547755967797,4.2748428761027215,1.5592132659769253
marginalized,XGBoost,2.2947146011147077,5.467496959600413,1.7848637567667196
