outcome,model_name,MAE,RMSE,CRPS
criminal,XGBoost,1.9019485736846307,3.3807222531048318,1.4284034336826192
dissident,XGBoost,1.9961571884725131,4.223943547167419,1.565030542688389
marginalized,XGBoost,2.2428496583769473,5.04163676141802,1.7602301812868644
