gwcode,year,hro_n,hro_secloc
92,2005,NA,NA
93,1995,35,1
93,1996,37,1
93,1997,39,1
93,1998,38.5,1
93,1999,38,1
93,2000,41,1
93,2001,40.3333333333333,1
93,2002,39.6666666666667,1
93,2003,39,1
93,2004,NA,1
93,2005,NA,1
94,1995,44,3
94,1996,47,3
94,1997,50,3
94,1998,48,3
94,1999,46,3
94,2000,50,3
94,2001,51,3
94,2002,52,3
94,2003,53,3
94,2004,NA,3
94,2005,NA,3
95,1995,30,0
95,1996,33,0
95,1997,36,0
95,1998,34.5,0
95,1999,33,0
95,2000,34,0
95,2001,35.3333333333335,0
95,2002,36.6666666666665,0
95,2003,38,0
95,2004,NA,0
95,2005,NA,0
100,1995,47,2
100,1996,52.5,2
100,1997,58,2
100,1998,58.5,2
100,1999,59,2
100,2000,60,2
100,2001,60.3333333333334,2
100,2002,60.6666666666666,2
100,2003,61,2
100,2004,NA,2
100,2005,NA,2
101,1995,41,5
101,1996,45.5,5
101,1997,50,5
101,1998,50.5,5
101,1999,51,5
101,2000,50,5
101,2001,51.6666666666665,5
101,2002,53.3333333333335,5
101,2003,55,5
101,2004,NA,5
101,2005,NA,5
110,1995,17,1
110,1996,18.5,1
110,1997,20,1
110,1998,19,1
110,1999,18,1
110,2000,21,1
110,2001,19.6666666666665,1
110,2002,18.3333333333335,1
110,2003,17,1
110,2004,NA,1
110,2005,NA,1
115,1995,14,NA
115,1996,16.5,NA
115,1997,19,NA
115,1998,19.5,NA
115,1999,20,NA
115,2000,16,NA
115,2001,14.6666666666665,NA
115,2002,13.3333333333335,NA
115,2003,12,NA
115,2004,NA,NA
115,2005,NA,NA
130,1995,46,1
130,1996,49,1
130,1997,52,1
130,1998,51.5,1
130,1999,51,1
130,2000,52,1
130,2001,52.6666666666667,1
130,2002,53.3333333333333,1
130,2003,54,1
130,2004,NA,1
130,2005,NA,1
135,1995,49,3
135,1996,54,3
135,1997,59,3
135,1998,58.5,3
135,1999,58,3
135,2000,64,3
135,2001,62.6666666666665,3
135,2002,61.3333333333335,3
135,2003,60,3
135,2004,NA,3
135,2005,NA,3
140,1995,58,3
140,1996,63.5,3
140,1997,69,3
140,1998,71,3
140,1999,73,3
140,2000,73,3
140,2001,74.6666666666665,3
140,2002,76.3333333333335,3
140,2003,NA,NA
140,2004,NA,3
140,2005,NA,3
145,1995,38,1
145,1996,41,1
145,1997,44,1
145,1998,45,1
145,1999,46,1
145,2000,49,1
145,2001,49.3333333333334,1
145,2002,49.6666666666666,1
145,2003,50,1
145,2004,NA,1
145,2005,NA,1
150,1995,40,0
150,1996,43,0
150,1997,46,0
150,1998,43,0
150,1999,40,0
150,2000,40,0
150,2001,40.6666666666667,0
150,2002,41.3333333333333,0
150,2003,42,0
150,2004,NA,0
150,2005,NA,0
155,1995,54,1
155,1996,59.5,1
155,1997,65,1
155,1998,66,1
155,1999,67,1
155,2000,72,1
155,2001,69.666666666667,1
155,2002,67.333333333333,1
155,2003,65,1
155,2004,NA,1
155,2005,NA,1
160,1995,NA,NA
160,1996,NA,NA
160,1997,NA,NA
160,1998,NA,NA
160,1999,NA,NA
160,2000,NA,NA
160,2001,NA,NA
160,2002,NA,NA
160,2003,NA,NA
160,2004,NA,1
160,2005,NA,1
165,1995,43,1
165,1996,48.5,1
165,1997,54,1
165,1998,53.5,1
165,1999,53,1
165,2000,55,1
165,2001,55.6666666666667,1
165,2002,56.3333333333333,1
165,2003,NA,NA
165,2004,NA,1
165,2005,NA,1
200,1995,82,28
200,1996,89,29
200,1997,96,29
200,1998,98,29
200,1999,100,29
200,2000,119,29
200,2001,117,29
200,2002,115,29
200,2003,113,29
200,2004,NA,29
200,2005,NA,29
205,1995,45,0
205,1996,50,0
205,1997,55,0
205,1998,51.5,0
205,1999,48,0
205,2000,74,0
205,2001,72,0
205,2002,70,0
205,2003,NA,NA
205,2004,NA,NA
205,2005,NA,0
210,1995,77,10
210,1996,84,10
210,1997,91,10
210,1998,91,10
210,1999,91,10
210,2000,115,10
210,2001,112.333333333333,10
210,2002,109.666666666667,10
210,2003,107,10
210,2004,NA,10
210,2005,NA,10
211,1995,85,36
211,1996,91.5,37
211,1997,98,39
211,1998,100,39
211,1999,102,39
211,2000,123,40
211,2001,116.666666666666,41
211,2002,110.333333333334,41
211,2003,104,41
211,2004,NA,41
211,2005,NA,41
220,1995,95,41
220,1996,100.5,43
220,1997,106,43
220,1998,105.5,43
220,1999,105,43
220,2000,139,43
220,2001,132.333333333334,43
220,2002,125.666666666666,43
220,2003,119,43
220,2004,NA,43
220,2005,NA,43
225,1995,80,28
225,1996,81,29
225,1997,82,29
225,1998,81.5,29
225,1999,81,29
225,2000,95,29
225,2001,95.3333333333334,29
225,2002,95.6666666666666,29
225,2003,96,29
225,2004,NA,29
225,2005,NA,29
230,1995,69,2
230,1996,77,2
230,1997,85,2
230,1998,85.5,2
230,1999,86,2
230,2000,105,2
230,2001,100.666666666666,2
230,2002,96.3333333333339,2
230,2003,NA,NA
230,2004,NA,2
230,2005,NA,2
235,1995,50,0
235,1996,54.5,0
235,1997,59,0
235,1998,60,0
235,1999,61,0
235,2000,73,0
235,2001,71.6666666666665,0
