gwcode,year,NE.TRD.GNFS.ZS
2,1960,9.16620651573716
2,1961,8.92952245695012
2,1962,8.94067096347711
2,1963,8.95709364234262
2,1964,9.20093321668125
2,1965,9.22414952265699
2,1966,9.57055214723926
2,1967,9.67854241615411
2,1968,10.026525198939
2,1969,10.0402000196098
2,1970,10.7582854049602
2,1971,10.7571790359274
2,1972,11.3406196496001
2,1973,13.0792857463575
2,1974,16.4449863225396
2,1975,15.5163736331565
2,1976,16.0488456356637
2,1977,16.4178946751554
2,1978,16.9728342289651
2,1979,18.3761942714554
2,1980,20.1098446894226
2,1981,19.4259071131591
2,1982,17.5368122809184
2,1983,16.6655934803103
2,1984,17.522432189514
2,1985,16.603906126303
2,1986,16.8979771514343
2,1987,17.9735809845702
2,1988,19.0701007058615
2,1989,19.4151283860195
2,1990,19.8150673537315
2,1991,19.7864481240974
2,1992,19.9505945023923
2,1993,20.0446187019752
2,1994,21.0554591617453
2,1995,22.4533816490568
2,1996,22.6870719902412
2,1997,23.4283210752957
2,1998,22.8258909297017
2,1999,23.2734726597002
2,2000,25.0436352248928
2,2001,22.8429578317059
2,2002,22.1542717779622
2,2003,22.4771005698784
2,2004,24.3524067400051
2,2005,25.5559940404642
2,2006,26.9001486081178
2,2007,27.955802072559
2,2008,29.8867980581803
2,2009,24.6415634555134
2,2010,28.0579522804396
2,2011,30.7892940559817
2,2012,30.5681839448303
2,2013,30.0130072244039
2,2014,29.9645414331959
2,2015,27.7261402461321
2,2016,26.4910040875526
2,2017,27.0909125051495
2,2018,NA
20,1960,35.1016149255244
20,1961,35.804682056991
20,1962,35.5754619200881
20,1963,35.7025465590085
20,1964,37.3421414767856
20,1965,37.1892288290064
20,1966,38.6433733658693
20,1967,39.520996594418
20,1968,41.1798979624839
20,1969,42.3883808000031
20,1970,41.6320830987005
20,1971,40.8240518211201
20,1972,41.9900952097537
20,1973,44.4375100480648
20,1974,48.2465207164912
20,1975,46.0101634713222
20,1976,44.414494602193
20,1977,45.912560006252
20,1978,49.0090977018007
20,1979,52.41406147672
20,1980,53.4976285375813
20,1981,52.2735011072644
20,1982,46.7770501043248
20,1983,46.877583746137
20,1984,52.6615288010899
20,1985,53.0337800532048
20,1986,53.2674230145867
20,1987,51.0608015722314
20,1988,51.5473229543194
20,1989,50.2280927796528
20,1990,50.1373021816833
20,1991,49.3548114916918
20,1992,52.8627033640169
20,1993,58.387634836048
20,1994,64.5371098672969
20,1995,69.223123069147
20,1996,70.4289149766109
20,1997,74.5167607036177
20,1998,78.2803706410468
20,1999,80.3148563703012
20,2000,82.974791882676
20,2001,78.5148684135536
20,2002,75.8423206653148
20,2003,69.9522601068369
20,2004,70.2858143044624
20,2005,69.8088534594941
20,2006,68.0714538934612
20,2007,66.2730087472006
20,2008,67.0011246742891
20,2009,58.426403549907
20,2010,60.1341290187115
20,2011,62.4033714480073
20,2012,62.4793176242369
20,2013,62.0619836714216
20,2014,64.1423891306314
20,2015,65.8384642770997
20,2016,64.9065333744436
20,2017,64.5229442608471
20,2018,65.8726224399597
31,1973,NA
31,1974,NA
31,1975,NA
31,1976,NA
31,1977,148.793828892006
31,1978,150.180201826045
31,1979,129.075265039896
31,1980,133.258443795402
31,1981,129.75113915177
31,1982,125.337388329215
31,1983,124.584487534626
31,1984,121.895056587134
31,1985,124.061710865761
31,1986,121.72295247725
31,1987,117.126017580178
31,1988,NA
31,1989,111.000326583932
31,1990,110.120025268478
31,1991,106.118618136001
31,1992,101.461563203602
31,1993,103.359961190168
31,1994,104.401963792574
31,1995,104.465441819773
31,1996,105.856747021336
31,1997,79.7348855718879
31,1998,77.7261671656993
31,1999,75.7027383336782
31,2000,79.6449438925669
31,2001,72.5008806383396
31,2002,70.2779817050926
31,2003,71.063540505226
31,2004,76.0019833710461
31,2005,81.3962709176308
31,2006,87.5507143032777
31,2007,88.0128155625079
31,2008,87.4292228766863
31,2009,76.5210439633098
31,2010,78.6756024311196
31,2011,88.3336891598687
31,2012,84.2507345739471
31,2013,85.5150739583725
31,2014,87.7123013881157
31,2015,73.6870669843881
31,2016,73.4863330742981
31,2017,75.4639412601442
31,2018,NA
40,1960,NA
40,1961,NA
40,1962,NA
40,1963,NA
40,1964,NA
40,1965,NA
40,1966,NA
40,1967,NA
40,1968,NA
40,1969,NA
40,1970,76.8065379599513
40,1971,76.8086504461305
40,1972,76.8094974939889
40,1973,76.8018034420664
40,1974,76.7856933983471
40,1975,76.8270440559194
40,1976,76.819218409113
40,1977,76.8137274113008
40,1978,76.7633305265542
40,1979,76.7051470738209
40,1980,77.0337920495621
40,1981,76.7800936995569
40,1982,76.7862750409187
40,1983,76.5113479685344
40,1984,76.4142284347136
40,1985,78.6770155734963
40,1986,75.5116004900005
40,1987,76.8171810541975
40,1988,75.1367128239783
40,1989,75.9286318811764
40,1990,71.1144932237197
40,1991,50.9961165399692
40,1992,35.1468673383887
40,1993,28.9158301790178
40,1994,27.775896647282
40,1995,29.3084176228486
40,1996,32.6253336188356
40,1997,32.7541989853727
40,1998,32.5046329239996
40,1999,31.8689321994188
40,2000,31.0759878817225
40,2001,29.3610963815873
40,2002,24.7293133475239
40,2003,26.5871335777077
40,2004,31.3114153338743
40,2005,39.3613744564576
40,2006,37.1880142882062
40,2007,37.9676096642032
40,2008,44.917220748508
40,2009,32.9139819587629
40,2010,40.2919413008332
