gwcode,year,NE.TRD.GNFS.ZS
2,1995,22.4533816490568
2,1996,22.6870719902412
2,1997,23.4283210752957
2,1998,22.8258909297017
2,1999,23.2734726597002
2,2000,25.0436352248928
2,2001,22.8429578317059
2,2002,22.1542717779622
2,2003,22.4771005698784
2,2004,24.3524067400051
2,2005,25.5559940404642
20,1995,69.223123069147
20,1996,70.4289149766109
20,1997,74.5167607036177
20,1998,78.2803706410468
20,1999,80.3148563703012
20,2000,82.974791882676
20,2001,78.5148684135536
20,2002,75.8423206653148
20,2003,69.9522601068369
20,2004,70.2858143044624
20,2005,69.8088534594941
40,1995,29.3084176228486
40,1996,32.6253336188356
40,1997,32.7541989853727
40,1998,32.5046329239996
40,1999,31.8689321994188
40,2000,31.0759878817225
40,2001,29.3610963815873
40,2002,24.7293133475239
40,2003,26.5871335777077
40,2004,31.3114153338743
40,2005,39.3613744564576
41,1995,37.8478190633142
41,1996,40.223379852938
41,1997,36.8940488093915
41,1998,36.5207867041288
41,1999,41.9484795102088
41,2000,46.1098221191029
41,2001,48.5029171528588
41,2002,48.1282171268133
41,2003,63.6809231951101
41,2004,59.3637587525911
41,2005,56.9797958758592
42,1995,73.8979593803276
42,1996,72.6424908698332
42,1997,74.2332371692166
42,1998,75.9113027135939
42,1999,76.3027532814337
42,2000,79.3003930961432
42,2001,70.5105678080061
42,2002,68.7232829028777
42,2003,84.4495031861592
42,2004,81.3514229381911
42,2005,61.6535587358027
51,1995,107.651807499957
51,1996,97.7242419605186
51,1997,88.9848318252583
51,1998,84.4749853660967
51,1999,84.2317468917696
51,2000,89.5130060528716
51,2001,84.8277345994425
51,2002,81.846755427102
51,2003,88.1506308424088
51,2004,89.3181040726816
51,2005,90.4878933449097
70,1995,46.3210192945657
70,1996,50.4192000800377
70,1997,48.7773616772941
70,1998,50.9961216267777
70,1999,50.6179714442795
70,2000,52.4326817487387
70,2001,47.1660730175839
70,2002,46.6979147083911
70,2003,50.2056894551963
70,2004,58.4243214904687
70,2005,62.3591238277744
90,1995,44.6894303422515
90,1996,40.392952957301
90,1997,41.5519511569592
90,1998,44.4237399632554
90,1999,46.3605068544295
90,2000,49.1455879049537
90,2001,69.5445477544963
90,2002,66.0318600124235
90,2003,65.9596499206597
90,2004,69.0781171579905
90,2005,66.0486550827249
91,1995,102.44888237349
91,1996,115.450847627509
91,1997,118.848359042336
91,1998,122.050468203298
91,1999,120.126089120866
91,2000,120.392164584236
91,2001,115.943071737954
91,2002,117.997454450299
91,2003,122.248277175534
91,2004,135.461758741854
91,2005,136.489768018486
92,1995,59.3607543357884
92,1996,55.2818567293307
92,1997,63.5570927549383
92,1998,60.8722907509534
92,1999,60.9904896201298
92,2000,68.7100889044911
92,2001,65.8907385362251
92,2002,65.9190907767708
92,2003,68.23698247861
92,2004,69.7822641767691
92,2005,69.7158050345539
93,1995,44.0397944057464
93,1996,48.4828382973154
93,1997,58.0055306487605
93,1998,57.0137150680369
93,1999,62.5376445208417
93,2000,61.2984974600022
93,2001,57.9801315472268
93,2002,58.0912844080785
93,2003,62.1750658877514
93,2004,67.195316780004
93,2005,71.6457237072991
94,1995,80.2255872242841
94,1996,84.4922554877487
94,1997,88.0496624397674
94,1998,92.4898548556479
