datestr,gwcode,v2x_polyarchy,v2x_api,v2x_mpi,v2x_libdem,v2x_liberal,v2x_partipdem,v2x_partip,v2x_delibdem,v2xdl_delib,v2x_egaldem,v2x_egal
2010,481,0.377899625310122,0.657880818773802,0.0979184318464422,0.221411523751289,0.468845996835117,0.239148664621721,0.517537373924317,0.334356946642178,0.8983894556490669,0.280633077747792,0.639042036529366
2011,481,0.401528452019383,0.672418776004805,0.13063812803396,0.232234860631157,0.468845996835117,0.250207331349903,0.517537373924317,0.355646893898696,0.8983894556490669,0.293375458369561,0.639042036529366
2012,481,0.404829396997993,0.672025416809427,0.13763337718656,0.23214212310225,0.465358286165912,0.23992356281212,0.48641010417356,0.352200202991385,0.8716125377898786,0.305337356848909,0.667992348505711
2013,481,0.41032342660834,0.691464999974453,0.129181853242226,0.253696151102531,0.51639082861751,0.271093302081775,0.562701861011672,0.318265695393254,0.7848273824489111,0.328802512065426,0.723185877322932
2014,481,0.41032342660834,0.691464999974453,0.129181853242226,0.253696151102531,0.51639082861751,0.271093302081775,0.562701861011672,0.318265695393254,0.7848273824489111,0.328802512065426,0.723185877322932
2015,481,0.41032342660834,0.691464999974453,0.129181853242226,0.253696151102531,0.51639082861751,0.271093302081775,0.562701861011672,0.318265695393254,0.7848273824489111,0.328802512065426,0.723185877322932
2016,481,0.425937440411675,0.703200412558621,0.148674468264729,0.261147905919247,0.51639082861751,0.278996553635108,0.562701861011672,0.330872241957085,0.7848273824489111,0.33790580811746,0.723185877322932
1900,200,0.474700497731739,0.770628330567239,0.17877266489624,0.423477716765673,0.85847435435094,0.297394778616379,0.546233465455131,0.358097294155867,0.7647108291773606,0.238821126925577,0.405216512948057
1901,200,0.475909307535339,0.772355273644818,0.17946334142586,0.424495239227956,0.85847435435094,0.298144024557367,0.546233465455131,0.359035687455604,0.7647108291773606,0.239563877903459,0.405216512948057
1902,200,0.475909307535339,0.772355273644818,0.17946334142586,0.424495239227956,0.85847435435094,0.298144024557367,0.546233465455131,0.359035687455604,0.7647108291773606,0.245109491580854,0.418912100874647
1903,200,0.475909307535339,0.772355273644818,0.17946334142586,0.424495239227956,0.85847435435094,0.298144024557367,0.546233465455131,0.359035687455604,0.7647108291773606,0.245109491580854,0.418912100874647
1904,200,0.475909307535339,0.772355273644818,0.17946334142586,0.424495239227956,0.85847435435094,0.298144024557367,0.546233465455131,0.359035687455604,0.7647108291773606,0.245109491580854,0.418912100874647
1905,200,0.475909307535339,0.772355273644818,0.17946334142586,0.424495239227956,0.85847435435094,0.298144024557367,0.546233465455131,0.347169589202209,0.7460401097086163,0.24014037487785,0.40658301798161
1906,200,0.488656423661955,0.78470253836539,0.192610308958521,0.433409181366111,0.85847435435094,0.305022481180757,0.546233465455131,0.356158842683099,0.7460401097086163,0.243811185007546,0.40065919842437703
1907,200,0.487766527326657,0.783670639365659,0.191862415287656,0.432859474060974,0.85847435435094,0.304610318098215,0.546233465455131,0.355529149950427,0.7460401097086163,0.243467270728724,0.40065919842437703
1908,200,0.487766527326657,0.783670639365659,0.191862415287656,0.432859474060974,0.85847435435094,0.304610318098215,0.546233465455131,0.355529149950427,0.7460401097086163,0.244635323206991,0.403853086652839
1909,200,0.487766527326657,0.783670639365659,0.191862415287656,0.432859474060974,0.85847435435094,0.304610318098215,0.546233465455131,0.355529149950427,0.7460401097086163,0.248670417681874,0.413537206892924
1910,200,0.490167310887277,0.78609599926773,0.194238622506824,0.438335410189147,0.868004036414906,0.305894437642086,0.546233465455131,0.371358924812493,0.7788547989258613,0.247168597414504,0.407262436909046
1911,200,0.490167310887277,0.78609599926773,0.194238622506824,0.436941642957666,0.864478578969164,0.305894437642086,0.546233465455131,0.361099004798131,0.7431565155067482,0.253452381739637,0.422442770483586
1912,200,0.490167310887277,0.78609599926773,0.194238622506824,0.439755056970667,0.871317995753614,0.305894437642086,0.546233465455131,0.361099004798131,0.7431565155067482,0.259032266716322,0.436205044332464
1913,200,0.490167310887277,0.78609599926773,0.194238622506824,0.439755056970667,0.871317995753614,0.305894437642086,0.546233465455131,0.361099004798131,0.7431565155067482,0.259032266716322,0.436205044332464
1914,200,0.476066174254319,0.771569754809766,0.180562593698871,0.424098855981515,0.857315231040314,0.298065769491921,0.545749379571717,0.360191857483699,0.7759529817771215,0.252225211859262,0.436205044332464
1915,200,0.474336755496111,0.76974469642748,0.178928814564741,0.422892712118187,0.857315231040314,0.297041820754602,0.545749379571717,0.366265223798623,0.7749633225188064,0.25142213392038,0.436205044332464
1916,200,0.470275268759455,0.765580661478442,0.174969876040468,0.417867181544394,0.851751185363967,0.294754384313654,0.545749379571717,0.357897294442045,0.7763203409584268,0.249338257186224,0.436205044332464
1917,200,0.468292568570929,0.763325369474756,0.173259767667102,0.416525575827101,0.851751185363967,0.293709869878684,0.545749379571717,0.356432577349225,0.7763203409584268,0.248429636383129,0.436205044332464
1918,200,0.466934580722834,0.761785130722634,0.172084030723035,0.41543985900749,0.851751185363967,0.293136676575664,0.545749379571717,0.355372869423555,0.7763203409584268,0.247835181202893,0.436205044332464
1919,200,0.688754475206266,0.854861999600193,0.522646950812339,0.589192005559282,0.853018290021567,0.431914848486274,0.554745280188956,0.507825874590122,0.763142488687256,0.36769809542693,0.435997224468309
1920,200,0.711978657364423,0.86749881502664306,0.556458499702204,0.610903840680336,0.85469903171689,0.44780933172387,0.554745280188956,0.546573997570258,0.7652824435176471,0.38254123610629,0.435997224468309
1921,200,0.711978657364423,0.86749881502664306,0.556458499702204,0.610903840680336,0.85469903171689,0.44780933172387,0.554745280188956,0.5015404921207,0.7235412448192191,0.376147796185956,0.423358756445301
1922,200,0.730331328331422,0.877125893652754,0.58353676301009,0.62661760318644,0.85469903171689,0.478505727384734,0.588078613522289,0.514114156493286,0.7235412448192191,0.384257526743378,0.420187082069168
1923,200,0.733560107272466,0.878886317398541,0.588233897146391,0.630865443483417,0.857047865153952,0.462517215638836,0.554745280188956,0.515879606565639,0.7235412448192191,0.384266177587255,0.416300557779543
1924,200,0.727552318502542,0.875552057431961,0.579552579573122,0.628327473086875,0.861688008772884,0.45871684994273,0.554745280188956,0.511465356448294,0.7235412448192191,0.383951620307881,0.422580633331413
